event_id,compound,n_laps,observed_slope,predicted_slope
2022_22_R,HARD,4,0.14179655172413466,0.0002016232901951298
2022_22_R,HARD,7,0.09025007595321005,0.0002016232901951298
2022_22_R,HARD,19,0.07552406696803941,0.0002016232901951298
2022_22_R,HARD,21,0.04835908099814238,0.0002016232901951298
2022_22_R,HARD,13,0.07160102024139818,0.0002016232901951298
2022_22_R,HARD,11,0.05301072495248193,0.0002016232901951298
2022_22_R,HARD,13,0.05446761080391237,0.0002016232901951298
2022_22_R,HARD,21,0.04835994014278478,0.0002016232901951298
2022_22_R,HARD,17,0.0585270091045959,0.0002016232901951298
2022_22_R,HARD,12,0.0471196922200046,0.0002016232901951298
2022_22_R,HARD,16,0.09546102322385888,0.0002016232901951298
